Azimuth,Vertical_dB,Horizontal_dB
-180,-18.0953877809433,-18.3074167735924
-179.9,-18.0953877809433,-18.3074167735924
-179.8,-18.0953877809433,-18.3074167735924
-179.7,-18.0953877809433,-18.3074167735924
-179.6,-18.0953877809433,-18.3074167735924
-179.5,-18.0953877809433,-18.3074167735924
-179.4,-18.0953877809433,-18.3074167735924
-179.3,-18.0953877809433,-18.3074167735924
-179.2,-18.0953877809433,-18.3074167735924
-179.1,-18.0953877809433,-18.3074167735924
-179,-18.0953877809433,-18.3074167735924
-178.9,-18.0953877809433,-18.3074167735924
-178.8,-18.0953877809433,-18.3074167735924
-178.7,-18.0953877809433,-18.3074167735924
-178.6,-18.0953877809433,-18.3074167735924
-178.5,-18.0906819112325,-18.3074167735924
-178.4,-18.0300040375857,-18.3074167735924
-178.3,-17.919038826845,-18.3074167735924
-178.2,-17.7433418600223,-18.3074167735924
-178.1,-17.3554688128457,-18.2978402469189
-178,-16.9624578552971,-18.2851993536669
-177.9,-16.769023092261,-18.2693013178154
-177.8,-16.6570278375218,-18.2473112842887
-177.7,-16.5368364673393,-18.223783659767
-177.6,-16.3259504420759,-18.1990420090503
-177.5,-16.0325986239381,-18.1717660575802
-177.4,-15.7796099213445,-18.1570359833961
-177.3,-15.636636526415,-18.1568566001899
-177.2,-15.5286067444667,-18.1568566001899
-177.1,-15.385830075844,-18.1568566001899
-177,-15.1044649971944,-18.1568566001899
-176.9,-14.7518739448772,-18.1568566001899
-176.8,-14.5014385467083,-18.1568566001899
-176.7,-14.3558141122656,-18.1568566001899
-176.6,-14.2400744294633,-18.1568566001899
-176.5,-14.1259150852226,-18.1568566001899
-176.4,-14.0092330992336,-18.1568566001899
-176.3,-13.9037100369141,-18.1568566001899
-176.2,-13.8230128198976,-18.1648505049793
-176.1,-13.7701163093665,-18.2265912774175
-176,-13.7084836502339,-18.3104928279238
-175.9,-13.5615232545092,-18.3795492085587
-175.8,-13.2369350172336,-18.4477968171434
-175.7,-12.9263179632379,-18.5101813911792
-175.6,-12.7771800320948,-18.5616559398965
-175.5,-12.6808029771811,-18.6075030948309
-175.4,-12.5813104829128,-18.6441686864689
-175.3,-12.4352324611724,-18.6698736317984
-175.2,-12.2654458809467,-18.6899943570666
-175.1,-12.1340368869793,-18.7098104482455
-175,-12.0641265616326,-18.7276880720194
-174.9,-12.0109621040961,-18.7459603545975
-174.8,-11.9362908574642,-18.7776517053546
-174.7,-11.7882245731201,-18.9048853418106
-174.6,-11.613176000282,-19.0916718291918
-174.5,-11.495765229239,-19.2300313003388
-174.4,-11.4267566861416,-19.32837724742
-174.3,-11.3699414379168,-19.4091851854802
-174.2,-11.3080911680912,-19.4677756933575
-174.1,-11.2436752136752,-19.503475257396
-174,-11.1792592592593,-19.5427452181731
-173.9,-11.1137902588259,-19.6327469083812
-173.8,-11.0455049235412,-19.8362711709083
-173.7,-10.9827127357338,-20.0629758712891
-173.6,-10.9337232724888,-20.237520988199
-173.5,-10.8941328126176,-20.3975364224329
-173.4,-10.8514924067165,-20.5327274148211
-173.3,-10.7930615129895,-20.6264932043843
-173.2,-10.7231263101266,-20.6973451144802
-173.1,-10.6603552358104,-20.7934687082658
-173,-10.6132900797151,-21.0120384680106
-172.9,-10.572281480548,-21.3213782122826
-172.8,-10.5310090455141,-21.5502408203218
-172.7,-10.4844421158323,-21.6562283078312
-172.6,-10.4392523485422,-21.7417816659011
-172.5,-10.405642396402,-21.8951821386667
-172.4,-10.3826550922759,-22.3286345520875
-172.3,-10.3632603073209,-22.8507477028957
-172.2,-10.3425830959164,-23.1454381948156
-172.1,-10.3211111111111,-23.280426335173
-172,-10.2996391263058,-23.4086961021639
-171.9,-10.2766337812866,-23.66243920032
-171.8,-10.2486741261592,-24.1556947871691
-171.7,-10.2292532383742,-24.6607679009392
-171.6,-10.2273789173789,-24.9689805779843
-171.5,-10.2273789173789,-25.1862754869999
-171.4,-10.2273789173789,-25.4105626095915
-171.3,-10.2273789173789,-25.7203192367217
-171.2,-10.2273789173789,-26.090615695915
-171.1,-10.2273789173789,-26.4291869481782
-171,-10.2169479372434,-26.6863844528978
-170.9,-10.190933253609,-26.9109908610383
-170.8,-10.1648970336954,-27.1428301654593
-170.7,-10.1382299262701,-27.4170589598965
-170.6,-10.1130120839795,-27.6925611514734
-170.5,-10.1044412788857,-27.8990307275098
-170.4,-10.1044412788857,-28.0265865740501
-170.3,-10.1044412788857,-28.1385682280973
-170.2,-10.1044412788857,-28.3020983831559
-170.1,-10.1044412788857,-28.580024069571
-170,-10.1044412788857,-28.8664112249467
-169.9,-10.1044412788857,-29.0405054961095
-169.8,-10.1044412788857,-29.1572197885765
-169.7,-10.1044412788857,-29.2494574529978
-169.6,-10.1044412788857,-29.3334037738319
-169.5,-10.1044412788857,-29.4158765662113
-169.4,-10.1044412788857,-29.4644187090085
-169.3,-10.1044412788857,-29.4671193415638
-169.2,-10.1044412788857,-29.4671193415638
-169.1,-10.1044412788857,-29.4671193415638
-169,-10.1044412788857,-29.4671193415638
-168.9,-10.1044412788857,-29.4671193415638
-168.8,-10.1044404970424,-29.4671193415638
-168.7,-10.0919000135104,-29.4671193415638
-168.6,-10.0651913409744,-29.4671193415638
-168.5,-10.0397215475691,-29.4619895844708
-168.4,-10.0125014757249,-29.2058211332056
-168.3,-9.98827186514751,-28.7624341802293
-168.2,-9.98150364039253,-28.4012179055791
-168.1,-9.98150364039253,-28.1507428305047
-168,-9.98150364039253,-27.886139403757
-167.9,-9.97793890330304,-27.4667639594752
-167.8,-9.95116808121613,-26.689153598185
-167.7,-9.92400790431688,-25.9569946283519
-167.6,-9.92003482114594,-25.6691059458637
-167.5,-9.92003482114594,-25.5497747439622
-167.4,-9.92003482114594,-25.4144423938074
-167.3,-9.91096069083285,-25.0477230827522
-167.2,-9.88095224351731,-24.3352247245928
-167.1,-9.85918513972928,-23.6507451135716
-167,-9.85856600189934,-23.2211190500721
-166.9,-9.85856600189934,-22.8705208871413
-166.8,-9.85856600189934,-22.5324408433654
-166.7,-9.83210489297342,-22.1503365327882
-166.6,-9.77625470722387,-21.7769968659784
-166.5,-9.73269582215016,-21.5185381377227
-166.4,-9.71078971037517,-21.3832889050576
-166.3,-9.69230126861946,-21.2772291741959
-166.2,-9.66638396467377,-21.11874639749
-166.1,-9.62212904962808,-20.8096791542934
-166,-9.57391569399043,-20.4872891030366
-165.9,-9.54102261475179,-20.3352842529356
-165.8,-9.51894536034496,-20.2778969790897
-165.7,-9.49963865383879,-20.225288193211
-165.6,-9.47865147198481,-20.1165897255095
-165.5,-9.45717948717949,-19.9089335523543
-165.4,-9.43570750237418,-19.6566010486297
-165.3,-9.41506118762562,-19.3945159163943
-165.2,-9.39565180539961,-19.0927831828709
-165.1,-9.37257419612231,-18.8183362321701
-165,-9.33648812722233,-18.6123549031809
-164.9,-9.28746510019391,-18.4369121637339
-164.8,-9.24599123035998,-18.2892712911911
-164.7,-9.22235795794814,-18.1715641671279
-164.6,-9.20402793016019,-18.0717709568118
-164.5,-9.1804536646611,-17.9646154576566
-164.4,-9.13907310425932,-17.8293277151714
-164.3,-9.09003523254851,-17.6903312697769
-164.2,-9.0535622852229,-17.5869900024018
-164.1,-9.02444482020881,-17.5221651279101
-164,-9.00293779972077,-17.4654896659485
-163.9,-8.99800253244698,-17.3893379338134
-163.8,-8.99800253244698,-17.2814996559414
-163.7,-8.99800253244698,-17.1658750328932
-163.6,-8.99172457401792,-17.0688249275454
-163.5,-8.94939238948499,-16.9879994005378
-163.4,-8.89351930981236,-16.9035985388461
-163.3,-8.84716623882633,-16.7920850750494
-163.2,-8.80002291133409,-16.6487901171756
-163.1,-8.75980505230922,-16.520736237122
-163,-8.73304704494675,-16.4412990908042
-162.9,-8.71261440462601,-16.3824885841269
-162.8,-8.69300013043858,-16.3207563712984
-162.7,-8.66746637537943,-16.2361187036876
-162.6,-8.64098164548058,-16.141040950439
-162.5,-8.6291896169674,-16.0653897005432
-162.4,-8.6291896169674,-16.0188038928156
-162.3,-8.6291896169674,-15.9810016412429
-162.2,-8.62860692795441,-15.9350023192919
-162.1,-8.60696388329777,-15.865227235582
-162,-8.57691726394181,-15.7933788374964
-161.9,-8.5677207977208,-15.7508169947536
-161.8,-8.5677207977208,-15.7309380173704
-161.7,-8.5677207977208,-15.7131031527518
-161.6,-8.56383437332195,-15.679247498457
-161.5,-8.53675372150693,-15.6122688984285
-161.4,-8.50990019333242,-15.538778339164
-161.3,-8.5062519784742,-15.4866065494806
-161.2,-8.5062519784742,-15.4466381864091
-161.1,-8.5062519784742,-15.4048528342135
-161,-8.5062519784742,-15.3457083957812
-160.9,-8.5062519784742,-15.2707081323178
-160.8,-8.5062519784742,-15.2117590209925
-160.7,-8.5062519784742,-15.1848539075511
-160.6,-8.5062519784742,-15.1671651546953
-160.5,-8.5062519784742,-15.1452376618341
-160.4,-8.5062519784742,-15.1104545822973
-160.3,-8.5062519784742,-15.0658104686991
-160.2,-8.50659263569741,-15.0153074765113
-160.1,-8.52726547432661,-14.951371009801
-160,-8.55757484456082,-14.8816526241277
-159.9,-8.5677207977208,-14.8241135867711
-159.8,-8.5677207977208,-14.7754972906464
-159.7,-8.5677207977208,-14.7341720238962
-159.6,-8.57097608500801,-14.7028812055299
-159.5,-8.59742498955402,-14.6744299839991
-159.4,-8.6248797273652,-14.6556441351705
-159.3,-8.6291896169674,-14.6531339031339
-159.2,-8.6291896169674,-14.6531339031339
-159.1,-8.6291896169674,-14.6531339031339
-159,-8.63520017174285,-14.6335396173556
-158.9,-8.65893280356059,-14.5586678455007
-158.8,-8.68635349068395,-14.4795196599572
-158.7,-8.70689644368974,-14.4279577578184
-158.6,-8.72653471678036,-14.3828254096854
-158.5,-8.75066318819273,-14.3472856104841
-158.4,-8.78979210460833,-14.3238941529689
-158.3,-8.83901701931721,-14.3055626407128
-158.2,-8.87748100906902,-14.2817608705531
-158.1,-8.90137037506152,-14.2400287032456
-158,-8.92094799702125,-14.1910502102643
-157.9,-8.9413200379867,-14.1552403704445
-157.8,-8.96279202279202,-14.1322530663184
-157.7,-8.98426400759734,-14.1128582813634
-157.6,-9.00545247687936,-14.0921810699589
-157.5,-9.02478021335224,-14.0707090851535
-157.4,-9.04623498074429,-14.0492371003482
-157.3,-9.07699383933364,-14.0277651155429
-157.2,-9.12424822848909,-14.0062931307376
-157.1,-9.1701182449785,-13.9848211459323
-157,-9.19878837969346,-13.963349161127
-156.9,-9.21966180104766,-13.9418771763216
-156.8,-9.2391003778157,-13.9204051915163
-156.7,-9.26045267489712,-13.8956689963618
-156.6,-9.28192465970243,-13.8684879448255
-156.5,-9.30339664450775,-13.8541610098016
-156.4,-9.32345831252166,-13.8540392529281
-156.3,-9.34330511805534,-13.8540392529281
-156.2,-9.36816001007023,-13.8539912502034
-156.1,-9.40363944089645,-13.8354038773827
-156,-9.44873305147733,-13.8047140591456
-155.9,-9.4998686224515,-13.7925704336815
-155.8,-9.57000166447047,-13.7925704336815
-155.7,-9.64156071848961,-13.7925704336815
-155.6,-9.68353870686116,-13.790425830214
-155.5,-9.70428694875691,-13.7653854739596
-155.4,-9.72233854806361,-13.7368733706287
-155.3,-9.75155984687934,-13.731101614435
-155.2,-9.79844142243999,-13.731101614435
-155.1,-9.84476059660505,-13.731101614435
-155,-9.87332291372676,-13.731101614435
-154.9,-9.8922441840075,-13.731101614435
-154.8,-9.91288510470934,-13.731101614435
-154.7,-9.94569387394543,-13.731101614435
-154.6,-9.9905796786914,-13.731101614435
-154.5,-10.0373077085216,-13.731101614435
-154.4,-10.0829667833436,-13.7175217001967
-154.3,-10.1293400252648,-13.686683011002
-154.2,-10.166116654021,-13.6696346191602
-154.1,-10.1905658059174,-13.6980033392293
-154,-10.2102922281458,-13.7541532461852
-153.9,-10.2304316100845,-13.7966050201672
-153.8,-10.2499875658768,-13.8200957004042
-153.7,-10.2705403420915,-13.8395828758348
-153.6,-10.2980261462566,-13.8606253886516
-153.5,-10.3428311628182,-13.8883657666135
-153.4,-10.3907726487013,-13.9109580087236
-153.3,-10.4240911634652,-13.9155080721747
-153.2,-10.4524535996575,-13.9155080721747
-153.1,-10.47094517033,-13.9155080721747
-153,-10.4732541943653,-13.9238890377802
-152.9,-10.4732541943653,-13.9684195077077
-152.8,-10.4732541943653,-14.0240249589636
-152.7,-10.487757891713,-14.0671339181326
-152.6,-10.5397049156402,-14.1076569265321
-152.5,-10.5906641319881,-14.1528283987743
-152.4,-10.6206997647602,-14.2150162483713
-152.3,-10.646266947259,-14.2898415884593
-152.2,-10.6576479150681,-14.3447319621565
-152.1,-10.6576606521051,-14.3683363708399
-152,-10.6576606521051,-14.3846631521762
-151.9,-10.6579038640447,-14.4113732802636
-151.8,-10.6780734679409,-14.4882208034465
-151.7,-10.7084960818951,-14.5922077991033
-151.6,-10.7191294713517,-14.6664568799576
-151.5,-10.7191294713517,-14.7121898733317
-151.4,-10.7191294713517,-14.7509433211812
-151.3,-10.7191294713517,-14.7920051930825
-151.2,-10.7191294713517,-14.8323656734166
-151.1,-10.7191294713517,-14.8754018865442
-151,-10.7191294713517,-14.9271377026824
-150.9,-10.7191294713517,-14.9889336851413
-150.8,-10.7191294713517,-15.0582136233141
-150.7,-10.7109645976409,-15.1381356673251
-150.6,-10.6812736144615,-15.2334346972271
-150.5,-10.658591017904,-15.3163444157993
-150.4,-10.6576606521051,-15.3678537888055
-150.3,-10.6576606521051,-15.4062142004358
-150.2,-10.6576606521051,-15.4486138077304
-150.1,-10.612023076156,-15.5047233344067
-150,-10.5193295085837,-15.5699273166346
-149.9,-10.4732541943653,-15.641520064882
-149.8,-10.4732541943653,-15.7206657261741
-149.7,-10.4732541943653,-15.8081601984154
-149.6,-10.4710281973232,-15.9032038469152
-149.5,-10.4123445072448,-16.0278579979945
-149.4,-10.3262761953663,-16.1456203285533
-149.3,-10.2789527061923,-16.2006954353317
-149.2,-10.2583832543581,-16.2216752342751
-149.1,-10.2402535790909,-16.2387272362924
-149,-10.2106557739754,-16.2665246570711
-148.9,-10.1635837623464,-16.3066655160959
-148.8,-10.1174851377482,-16.3546122180804
-148.7,-10.090006010943,-16.4123379273885
-148.6,-10.0732514327406,-16.4871349247366
-148.5,-10.0511089770659,-16.5491172818241
-148.4,-9.98476066340038,-16.5792106924722
-148.3,-9.85457022310355,-16.5991236605507
-148.2,-9.74308014422923,-16.6178090794292
-148.1,-9.69128476425897,-16.6392371003482
-148,-9.65410512353968,-16.6607090851535
-147.9,-9.61129834971256,-16.6821810699588
-147.8,-9.54894411407785,-16.7036530547642
-147.7,-9.47895852412158,-16.7251250395695
-147.6,-9.42011226799865,-16.7467873956603
-147.5,-9.37879420184948,-16.7740999286691
-147.4,-9.33995791211516,-16.7981137611846
-147.3,-9.28490900056328,-16.8045425767648
-147.2,-9.18803325810834,-16.8045425767648
-147.1,-9.09152668169769,-16.8045425767648
-147,-9.04673514682039,-16.8045425767648
-146.9,-9.0286283622209,-16.8045425767648
-146.8,-9.0103853034371,-16.8045425767648
-146.7,-8.96271271324639,-16.8007307859743
-146.6,-8.85897113478984,-16.7803345718626
-146.5,-8.76613149107834,-16.7514518648971
-146.4,-8.73306731185709,-16.719351498672
-146.3,-8.71620400128592,-16.6769968309561
-146.2,-8.69521893740984,-16.627822685805
-146.1,-8.64712793795984,-16.5684852764537
-146,-8.57346989886792,-16.498475638112
-145.9,-8.50689325042512,-16.4363699024604
-145.8,-8.46020052753112,-16.3915949992822
-145.7,-8.41930054902575,-16.3524015286314
-145.6,-8.37795188350745,-16.3060520139507
-145.5,-8.33500791389681,-16.2370309234693
-145.4,-8.29206394428618,-16.1646419138613
-145.3,-8.2493072426297,-16.1207156860356
-145.2,-8.20884815119122,-16.1010574398713
-145.1,-8.16645310110259,-16.083575795262
-145,-8.11397817924525,-16.0472657013554
-144.9,-8.04074528125355,-15.9612798427185
-144.8,-7.97320669739208,-15.8600844254606
-144.7,-7.93829120585193,-15.7821601290901
-144.6,-7.91923264225664,-15.7141008782385
-144.5,-7.90004519500821,-15.6540400876743
-144.4,-7.8630549860992,-15.6043117875955
-144.3,-7.80635766380809,-15.5622720767899
-144.2,-7.76982747874045,-15.5217075881065
-144.1,-7.76862614751504,-15.4812213576348
-144,-7.76862614751504,-15.4419448114535
-143.9,-7.76862614751504,-15.3936878686288
-143.8,-7.75736834297251,-15.3154300357976
-143.7,-7.73105793205825,-15.2169802063798
-143.6,-7.70533593308342,-15.1400522268762
-143.5,-7.6856754283137,-15.0922734948912
-143.4,-7.66532634234811,-15.0531182509718
-143.3,-7.63860005296358,-15.0121450546945
-143.2,-7.59463227648861,-14.965146639578
-143.1,-7.54629507378646,-14.9209638365765
-143,-7.51219687791707,-14.8898727651252
-142.9,-7.48358017352217,-14.8719773023925
-142.8,-7.46421785619424,-14.8527010721309
-142.7,-7.46128205128205,-14.8033308982986
-142.6,-7.46128205128205,-14.6744188765479
-142.5,-7.46128205128205,-14.5524287181274
-142.4,-7.45355783440656,-14.5118490373277
-142.3,-7.42404371501452,-14.4936563275024
-142.2,-7.40092150379144,-14.474767826207
-142.1,-7.39981323203546,-14.4392957722441
-142,-7.39981323203546,-14.3903342446141
-141.9,-7.39981323203546,-14.3485108885434
-141.8,-7.39981323203546,-14.3246477828933
-141.7,-7.39981323203546,-14.3063152103027
-141.6,-7.39981323203546,-14.2829594511749
-141.5,-7.39981323203546,-14.2419385562207
-141.4,-7.39981323203546,-14.1928493643222
-141.3,-7.39981323203546,-14.1562876168646
-141.2,-7.39981323203546,-14.133052653954
-141.1,-7.39981323203546,-14.1136157030321
-141,-7.39981323203546,-14.0930231085787
-140.9,-7.39981323203546,-14.0715511237734
-140.8,-7.39981323203546,-14.050079138968
-140.7,-7.39981323203546,-14.0286071541627
-140.6,-7.39981323203546,-14.0071351693574
-140.5,-7.39981323203546,-13.9856631845521
-140.4,-7.39981323203546,-13.9620849145094
-140.3,-7.39981323203546,-13.934267344199
-140.2,-7.39981323203546,-13.9165297373633
-140.1,-7.39981323203546,-13.9155080721747
-140,-7.39981323203546,-13.9155080721747
