Azimuth,Vertical_dB,Horizontal_dB
-180,-20.1032774731166,-21.2184153262131
-179.9,-20.1032774731166,-21.2184153262131
-179.8,-20.1032774731166,-21.2184153262131
-179.7,-20.1032774731166,-21.2184153262131
-179.6,-20.1032774731166,-21.2184153262131
-179.5,-20.0965910793752,-21.2114286639925
-179.4,-20.0955178841782,-21.2026417604563
-179.3,-20.1303311007631,-21.1894701785241
-179.2,-20.2161156386034,-21.1696435104063
-179.1,-20.3055231054775,-21.1454608887805
-179,-20.3768071886753,-21.1192402983561
-178.9,-20.4568126448746,-21.0932997238427
-178.8,-20.5797147026984,-21.0699571499496
-178.7,-20.8757402881046,-21.0515305613865
-178.6,-21.2360637349438,-21.0403379428629
-178.5,-21.4652694191948,-21.0380394639654
-178.4,-21.6076911938761,-21.0380394639654
-178.3,-21.7213980511486,-21.0380394639654
-178.2,-21.819806285901,-21.0255382224019
-178.1,-21.8941244744872,-20.9457017878475
-178,-21.9779909015922,-20.8550550920355
-177.9,-22.1197275300188,-20.8114763334654
-177.8,-22.3472175960216,-20.7854148470667
-177.7,-22.6120466078265,-20.7592190435582
-177.6,-22.9110937834867,-20.7223889190723
-177.5,-23.2627425159191,-20.6781977360801
-177.4,-23.5214569835506,-20.633024513728
-177.3,-23.6283117749463,-20.592090912764
-177.2,-23.6970663568061,-20.5516533157002
-177.1,-23.7868406558297,-20.5038559524559
-177,-23.9515097835359,-20.4351461680788
-176.9,-24.1591436323502,-20.3558372804773
-176.8,-24.3427285163883,-20.2918560165243
-176.7,-24.4951314036312,-20.2477460307958
-176.6,-24.6349149175553,-20.2085446968083
-176.5,-24.7626636245865,-20.1623754499441
-176.4,-24.8678042198167,-20.1081823314378
-176.3,-24.9769889777889,-20.048736470878
-176.2,-25.1372722385666,-19.9846684274509
-176.1,-25.3994558206985,-19.9134254141465
-176,-25.6453620369197,-19.8394465023151
-175.9,-25.7712854775332,-19.7657917634638
-175.8,-25.8623072854829,-19.6888967388783
-175.7,-25.9116262402537,-19.620144817833
-175.6,-25.9145657908621,-19.5702586240671
-175.5,-25.9145657908621,-19.531653185886
-175.4,-25.9145657908621,-19.4886188367148
-175.3,-25.8827039444343,-19.4260729865937
-175.2,-25.7876262613431,-19.34917006324
-175.1,-25.6701102046232,-19.2767229892624
-175,-25.5319603250588,-19.2148624837389
-174.9,-25.3542646489135,-19.1574926795011
-174.8,-25.1491657310985,-19.1059085713886
-174.7,-24.8538878727832,-19.0588622752354
-174.6,-24.5431943704799,-19.016408511797
-174.5,-24.3714784207564,-18.9806478284387
-174.4,-24.3048878343102,-18.9551394037226
-174.3,-24.2483751083419,-18.9291140023392
-174.2,-24.1240136147068,-18.8834588250246
-174.1,-23.8127134859964,-18.787617046322
-174,-23.4773722426837,-18.689763601089
-173.9,-23.2983815360748,-18.6418127874418
-173.8,-23.1974520862024,-18.6172202859007
-173.7,-23.0923062327243,-18.5912933685941
-173.6,-22.9059179461394,-18.5421741415378
-173.5,-22.6283629856705,-18.465103538182
-173.4,-22.3819174747063,-18.3869542549009
-173.3,-22.2484362472011,-18.3263430262689
-173.2,-22.1552148882508,-18.27180995491
-173.1,-22.0301690345674,-18.2137390422934
-173,-21.7465904441608,-18.1459663273012
-172.9,-21.3507111087458,-18.0726010349469
-172.8,-21.0635388045727,-17.9994470824101
-172.7,-20.9257028313966,-17.9278737997257
-172.6,-20.8180081620091,-17.8563005170413
-172.5,-20.6693188035102,-17.7845999486089
-172.4,-20.4270524479677,-17.710774196199
-172.3,-20.1574596876476,-17.6385126727419
-172.2,-19.9483085072328,-17.5740305068546
-172.1,-19.7931516492754,-17.5208173744009
-172,-19.6459249600075,-17.4655174866006
-171.9,-19.4717621266123,-17.389354389837
-171.8,-19.2734696068723,-17.2809228113115
-171.7,-19.0651913047579,-17.1751341260575
-171.6,-18.8556480634809,-17.1039241250459
-171.5,-18.6403090118577,-17.0513028924435
-171.4,-18.4234856382487,-16.9961074608193
-171.3,-18.1946525023835,-16.9125446541638
-171.2,-17.9554652254833,-16.8076912794728
-171.1,-17.7713670193507,-16.7378464646213
-171,-17.6722649131425,-16.7204021170197
-170.9,-17.6013494607239,-16.7111588659401
-170.8,-17.5082415345779,-16.6924478458546
-170.7,-17.3397631966158,-16.4591933914529
-170.6,-17.1302981751286,-16.0978275422244
-170.5,-16.9543092722041,-15.9566170729134
-170.4,-16.835872068105,-15.9566170729134
-170.3,-16.720027613097,-15.9566170729134
-170.2,-16.5329962786066,-15.9557490379897
-170.1,-16.1305868674703,-15.9427535105915
-170,-15.7327413414741,-15.916412709379
-169.9,-15.5996316284214,-15.8796166455519
-169.8,-15.562263074414,-15.8352553303097
-169.7,-15.527983522089,-15.7862187748518
-169.6,-15.4538565615185,-15.735396990378
-169.5,-15.3231088475873,-15.6856799880876
-169.4,-15.1744149506618,-15.6399577791804
-169.3,-15.0329840478486,-15.5996781523155
-169.2,-14.8844504101414,-15.5593922026942
-169.1,-14.7440120973658,-15.5127138362584
-169,-14.6126706495821,-15.4478292315399
-168.9,-14.4881857137424,-15.3684503618643
-168.8,-14.398956906296,-15.3005625378799
-168.7,-14.353529538082,-15.2564405706377
-168.6,-14.3200305854819,-15.2188475067762
-168.5,-14.2653884492779,-15.1692134630737
-168.4,-14.1312978443088,-15.0868018359479
-168.3,-13.9479217526928,-14.9907685586102
-168.2,-13.783176270065,-14.9136687802532
-168.1,-13.6315513712644,-14.8578989916664
-168,-13.4891109885392,-14.8046383785369
-167.9,-13.3670926874687,-14.7342670096055
-167.8,-13.2576437932078,-14.6307839021028
-167.7,-13.1638303980502,-14.5420184065059
-167.6,-13.0865768962605,-14.5116597182856
-167.5,-13.012773709583,-14.5010519745903
-167.4,-12.968233748901,-14.4881741389778
-167.3,-12.9651345362457,-14.4286679219843
-167.2,-12.9651345362457,-14.2844787332585
-167.1,-12.9651345362457,-14.1634572774641
-167,-12.9373556800343,-14.1254975057969
-166.9,-12.8401779325825,-14.10428164943
-166.8,-12.6901735189985,-14.0730204389053
-166.7,-12.505152641088,-13.9785789836329
-166.6,-12.3029255006572,-13.8374009117635
-166.5,-12.1013022995119,-13.7373527800035
-166.4,-11.918093239458,-13.6909564051612
-166.3,-11.7711085223013,-13.6548521233409
-166.2,-11.6770902331234,-13.6069299442751
-166.1,-11.6188576618802,-13.5365651806292
-166,-11.5680982802184,-13.4591543767068
-165.9,-11.5037040994977,-13.3926209942324
-165.8,-11.4194562838541,-13.3367380464218
-165.7,-11.323910981624,-13.2813357835646
-165.6,-11.2260999850473,-13.2163751944477
-165.5,-11.1350550863641,-13.139314399075
-165.4,-11.0598080778144,-13.0673468613552
-165.3,-11.0074748898829,-13.0155227368588
-165.2,-10.9687855045047,-12.9753623076342
-165.1,-10.926877375425,-12.9340558310602
-165,-10.8695501577543,-12.8832295521027
-164.9,-10.7993654297251,-12.8262952726689
-164.8,-10.7175236293768,-12.7647606093326
-164.7,-10.6107372047404,-12.6934901195505
-164.6,-10.4846188803813,-12.6162349000738
-164.5,-10.3776491128748,-12.5518293238715
-164.4,-10.2957497757882,-12.5050538956959
-164.3,-10.2255023113037,-12.4649002031827
-164.2,-10.1680777978721,-12.4238181551347
-164.1,-10.1256802855753,-12.3838778549309
-164,-10.0868680821752,-12.3419799652539
-163.9,-10.0358455039625,-12.2887275517454
-163.8,-9.96531992186026,-12.2100621147549
-163.7,-9.88830684243776,-12.1326320810131
-163.6,-9.81790290822041,-12.0877737762036
-163.5,-9.74847483225509,-12.0633016377709
-163.4,-9.67956519068661,-12.037211307777
-163.3,-9.61304352143175,-11.9816128384184
-163.2,-9.55077936240728,-11.8800185332238
-163.1,-9.49464225153003,-11.7899750874616
-163,-9.44750309854517,-11.7514325500413
-162.9,-9.4074294982066,-11.7287512370465
-162.8,-9.36434957520342,-11.6993427381277
-162.7,-9.31012849182782,-11.6310690665538
-162.6,-9.24546757093945,-11.5297259285486
-162.5,-9.17305078733078,-11.4473771511663
-162.4,-9.09555506100818,-11.4012979832403
-162.3,-9.01565731197806,-11.3638882688786
-162.2,-8.93603446024679,-11.3165589654427
-162.1,-8.8593634258208,-11.2413666160944
-162,-8.78832112870646,-11.1611348000284
-161.9,-8.72558448891017,-11.1096453165369
-161.8,-8.67383042643832,-11.0809109309622
-161.7,-8.63573586129728,-11.0561755695234
-161.6,-8.61351520194532,-11.0233267024066
-161.5,-8.60153222609833,-10.9825966792508
-161.4,-8.58872765112407,-10.936736442925
-161.3,-8.55925432976702,-10.8867960801778
-161.2,-8.49787822561501,-10.8310285142364
-161.1,-8.43185788078099,-10.7703735268059
-161,-8.38335155313936,-10.7003238132185
-160.9,-8.34117942011326,-10.6192133804665
-160.8,-8.29988488047367,-10.5540073249909
-160.7,-8.25807571064001,-10.5195544498381
-160.6,-8.21663717758127,-10.495583371877
-160.5,-8.17117376640307,-10.465873602264
-160.4,-8.11018103633838,-10.4151148219418
-160.3,-8.04447476969234,-10.3516887477624
-160.2,-8.00365904612926,-10.295198849618
-160.1,-7.98435061053894,-10.239113222316
