Azimuth,Vertical_dB,Horizontal_dB
-180,-13.5996071419447,-14.9834567901235
-179.9,-13.5996071419447,-14.9834567901235
-179.8,-13.5996071419447,-14.9834567901235
-179.7,-13.5996071419447,-14.9834567901235
-179.6,-13.5996071419447,-14.9834567901235
-179.5,-13.5996071419447,-14.9834567901235
-179.4,-13.5996071419447,-14.9834567901235
-179.3,-13.5996071419447,-14.9834567901235
-179.2,-13.6098317758979,-14.9834567901235
-179.1,-13.6135802469136,-14.9834567901235
-179,-13.6135802469136,-14.9834567901235
-178.9,-13.6135802469136,-14.9834567901235
-178.8,-13.6135802469136,-14.9838870797844
-178.7,-13.6135802469136,-14.9963628920829
-178.6,-13.6135802469136,-15.0194594384287
-178.5,-13.6121776894437,-15.045173691603
-178.4,-13.5958834876011,-15.0783813704729
-178.3,-13.5719366096258,-15.1187729546419
-178.2,-13.5520987654321,-15.1649728853644
-178.1,-13.5336942070275,-15.2233710501351
-178,-13.515289648623,-15.2810183163392
-177.9,-13.4975216187149,-15.3250135491995
-177.8,-13.4809167851168,-15.3612898158951
-177.7,-13.461343893604,-15.3959845604245
-177.6,-13.4310535633572,-15.4326495726496
-177.5,-13.3891461607661,-15.4694586894587
-177.4,-13.3530049175384,-15.5062678062678
-177.3,-13.3311774910017,-15.5416742672445
-177.2,-13.3140260095485,-15.5767647285929
-177.1,-13.2969625920061,-15.6169009668317
-177,-13.2800055758921,-15.6703474545186
-176.9,-13.2627225523758,-15.7303351030525
-176.8,-13.2404077755905,-15.7808835347496
-176.7,-13.2035009102949,-15.8196364761366
-176.6,-13.161792002314,-15.8543772088861
-176.5,-13.1325402951072,-15.889889187907
-176.4,-13.1150460266582,-15.9230877064439
-176.3,-13.098719822646,-15.959404153597
-176.2,-13.0737209397773,-16.009689941715
-176.1,-13.0337068703912,-16.0854729250027
-176,-12.9938225859426,-16.1659687790119
-175.9,-12.9684767911601,-16.2299641093713
-175.8,-12.9503730687746,-16.2847909954176
-175.7,-12.9337634182285,-16.3376969319562
-175.6,-12.9163358693593,-16.3927065527066
-175.5,-12.8996386351871,-16.4479202279202
-175.4,-12.8795330013483,-16.5031339031339
-175.3,-12.8432732102346,-16.5583475783476
-175.2,-12.7951150291934,-16.6135612535613
-175.1,-12.7705838870016,-16.6687749287749
-175,-12.770579297246,-16.7239886039886
-174.9,-12.770579297246,-16.7792022792023
-174.8,-12.7702873053404,-16.8343440496023
-174.7,-12.7525677293725,-16.8859258506937
-174.6,-12.7265882691717,-16.9392319373826
-174.5,-12.7178917378917,-17.0049519320616
-174.4,-12.7178917378917,-17.0958323867762
-174.3,-12.7178917378917,-17.195294999234
-174.2,-12.7178917378917,-17.2813467002285
-174.1,-12.7178917378917,-17.3587102444037
-174,-12.7178917378917,-17.4295974907708
-173.9,-12.7130316281826,-17.4921963315249
-173.8,-12.6886472139567,-17.5472162200817
-173.7,-12.6670995276492,-17.6000886976583
-173.6,-12.6652041785375,-17.6540860280313
-173.5,-12.6652041785375,-17.7070503911624
-173.4,-12.6652041785375,-17.7641705209637
-173.3,-12.6652041785375,-17.8433569992609
-173.2,-12.6652041785375,-17.9376473430551
-173.1,-12.6652041785375,-17.9865023640562
-173,-12.6870812095666,-17.9866476733143
-172.9,-12.7348036234415,-17.9866476733143
-172.8,-12.7726350006888,-17.9870803849284
-172.7,-12.7915589029376,-18.0420449150291
-172.6,-12.8073772370404,-18.1389979625095
-172.5,-12.8291462923533,-18.2081251151138
-172.4,-12.8633577188982,-18.2510071611922
-172.3,-12.9037277497364,-18.2853172211644
-172.2,-12.942385361844,-18.3108472555983
-172.1,-12.9828703329373,-18.328024150797
-172,-13.019708965312,-18.3445613916612
-171.9,-13.0448170481,-18.370479863914
-171.8,-13.0613742838425,-18.4109836260472
-171.7,-13.0785248221561,-18.4503007830382
-171.6,-13.1053493466549,-18.4768907249807
-171.5,-13.1431845722374,-18.5001363240558
-171.4,-13.1834795313961,-18.5129836775477
-171.3,-13.2193746693265,-18.5135232668566
-171.2,-13.2542263918278,-18.5135232668566
-171.1,-13.2934852399906,-18.5135232668566
-171,-13.3414247123494,-18.5135232668566
-170.9,-13.397183618784,-18.5135232668566
-170.8,-13.45847148332,-18.5134737126902
-170.7,-13.5306768457621,-18.4922967543873
-170.6,-13.6088099365714,-18.447391401379
-170.5,-13.6778010075232,-18.3996604044122
-170.4,-13.7380057102332,-18.3441185988949
-170.3,-13.7921698511406,-18.2845720010224
-170.2,-13.8374190326721,-18.2364089263813
-170.1,-13.8697324842982,-18.1986417688496
-170,-13.9038202814263,-18.1640413637915
-169.9,-13.9647227329853,-18.1278442545109
-169.8,-14.0847646804448,-18.0910351377018
-169.7,-14.2094278987125,-18.0542260208927
-169.6,-14.2848089537756,-18.0181390590221
-169.5,-14.3365716906632,-17.983505571529
-169.4,-14.3878192608093,-17.9454160965589
