Antenna,Avg_E_Gain_dB,Avg_E_HPBW_deg,Avg_E_FB_dB,Avg_H_Gain_dB,Avg_H_HPBW_deg,Avg_H_FB_dB
ant1,-2.08544304125852,66.3125,8.87900759955433,-0.202357110244072,66.125,10.3785670309105
ant2,-1.34333751867841,64.075,11.6682170973472,-0.97376333430185,56.3875,10.3560489141072
ant3,-0.635646055665115,67.2375,12.2176268901232,-1.81588169828159,93.85,10.3092763537217
ant4,-0.928518860236796,67.4,13.4948661674584,-1.95411482546074,97.075,6.19777001504258
