Azimuth,Vertical_dB,Horizontal_dB
-180,-21.1636119526068,-11.8735232668566
-179.9,-21.1636119526068,-11.8735232668566
-179.8,-21.1636119526068,-11.8735232668566
-179.7,-21.1636119526068,-11.8735232668566
-179.6,-21.1636119526068,-11.8735232668566
-179.5,-21.1636119526068,-11.8735232668566
-179.4,-21.1636119526068,-11.8735232668566
-179.3,-21.1636119526068,-11.8735232668566
-179.2,-21.1511151777751,-11.8735232668566
-179.1,-21.1465337132004,-11.8735232668566
-179,-21.1465337132004,-11.8735232668566
-178.9,-21.1465337132004,-11.8735232668566
-178.8,-21.148413149215,-11.8728967881851
-178.7,-21.200451196876,-11.8555507722981
-178.6,-21.2873303200048,-11.8265910645885
-178.5,-21.3627033871478,-11.8017343462193
-178.4,-21.4301867679645,-11.7814750590222
-178.3,-21.4976701487812,-11.7590950928141
-178.2,-21.569637080131,-11.7272119715362
-178.1,-21.6575426070135,-11.677898435544
-178,-21.7195807598169,-11.6296046383459
-177.9,-21.7260968660969,-11.5992610231457
-177.8,-21.7260968660969,-11.5773092805817
-177.7,-21.7260968660969,-11.5569683476313
-177.6,-21.799826469887,-11.5346206605466
-177.5,-22.028024591162,-11.5121262002744
-177.4,-22.229004956985,-11.4896317400021
-177.3,-22.3099733230573,-11.4671372797299
-177.2,-22.3659398718766,-11.4446428194576
-177.1,-22.4368916758835,-11.4221502272034
-177,-22.5569385590803,-11.4014249852863
-176.9,-22.7053733222444,-11.3803012898774
-176.8,-22.8406827485202,-11.3530276738065
-176.7,-22.9530735928093,-11.3079192828897
-176.6,-23.0614627348606,-11.2569417286908
-176.5,-23.1817947870292,-11.2209768354955
-176.4,-23.3282103906328,-11.1973884751136
-176.3,-23.4686476468006,-11.1771331498645
-176.2,-23.5696945835061,-11.1553023108579
-176.1,-23.6585419656239,-11.1328078505856
-176,-23.7157207929667,-11.1103133903134
-175.9,-23.7223699482959,-11.0878189300412
-175.8,-23.7223699482959,-11.0653244697689
-175.7,-23.7223699482959,-11.0428300094967
-175.6,-23.8306565780497,-11.0203355492244
-175.5,-24.1960454188186,-10.9978410889522
-175.4,-24.5310586328887,-10.97534662868
-175.3,-24.667287849948,-10.9541835626263
-175.2,-24.758056263061,-10.933529080362
-175.1,-24.8794923762065,-10.9079553026183
-175,-25.1804941218594,-10.8695072214344
-174.9,-25.5619548705047,-10.8209494275316
-174.8,-25.7186430304949,-10.7731750553973
-174.7,-25.7186430304949,-10.7281861348528
-174.6,-25.7186430304949,-10.6831972143083
-174.5,-25.7528367835495,-10.6382082937639
-174.4,-26.3557622227435,-10.5932193732194
-174.3,-27.2653946669216,-10.5482304526749
-174.2,-27.9486631929101,-10.5032415321304
-174.1,-28.4994152889397,-10.458252611586
-174,-28.9913349126312,-10.4132636910415
-173.9,-29.4111595391953,-10.3690102312076
-173.8,-29.7662081373697,-10.3267237353968
-173.7,-30.1083198659476,-10.2806007556337
-173.6,-30.5016738155559,-10.219373843657
-173.5,-30.9374540111611,-10.1408474274758
-173.4,-31.2788656739266,-10.0777802514143
-173.3,-31.4518980759931,-10.0493585845714
-173.2,-31.5671043933476,-10.0316825158005
-173.1,-31.6988781408722,-10.0077520490919
-173,-31.9284582941703,-9.94926119939014
-172.9,-32.1980831601448,-9.86697273369898
-172.8,-32.3577297521515,-9.81005446670825
-172.7,-32.4166441329835,-9.78717719835184
-172.6,-32.4560475115535,-9.76977706036329
-172.5,-32.4866486491333,-9.73815439052816
-172.4,-32.5107305867892,-9.65111135792273
-172.3,-32.5310489329325,-9.54286984419145
-172.2,-32.5527107734515,-9.47090013910668
-172.1,-32.5752052337238,-9.42711508874869
-172,-32.597699693996,-9.38667629235974
-171.9,-32.6218005316351,-9.33213470113496
-171.8,-32.6510915989115,-9.26058721046171
-171.7,-32.6714372908767,-9.19034498544499
-171.6,-32.6734008652527,-9.13786802709968
-171.5,-32.6734008652527,-9.09624914390584
-171.4,-32.6734008652527,-9.05195174681262
-171.3,-32.6734008652527,-8.99356836063234
-171.2,-32.6734008652527,-8.92399983848541
-171.1,-32.6734008652527,-8.85308186200086
-171,-32.4570091538943,-8.78290137696584
-170.9,-31.9144311560705,-8.71235337237976
-170.8,-31.3638478202678,-8.65123429741862
-170.7,-30.8254656541209,-8.60285958332553
-170.6,-30.2994326586961,-8.56016368127294
-170.5,-30.002269347898,-8.51677119558149
-170.4,-29.8951705850736,-8.47426595580191
-170.3,-29.811154549216,-8.43024923652074
-170.2,-29.6136760382394,-8.37746931079645
-170.1,-28.9713809515947,-8.30774295364034
-170,-28.1219660548549,-8.23583435546467
-169.9,-27.4094991062391,-8.17998811774451
-169.8,-26.7469770675001,-8.13747426379718
-169.7,-26.1337442602113,-8.09460690040119
-169.6,-25.6159339058485,-8.03571244960646
-169.5,-25.1706072841358,-7.95743616935298
-169.4,-24.7424651495103,-7.89190662402674
-169.3,-24.2673683479139,-7.85993276411456
-169.2,-23.7645639999268,-7.83896403144865
-169.1,-23.3716486467602,-7.81944276134893
-169,-23.1469266016675,-7.7990815980285
-168.9,-22.9821385130113,-7.77928156600024
-168.8,-22.8195270584206,-7.7519400686596
-168.7,-22.636815926105,-7.69539202272468
-168.6,-22.4545700968245,-7.61710314569785
-168.5,-22.2816154536407,-7.55132554259337
-168.4,-22.124003654321,-7.50379883350626
-168.3,-21.9708016587646,-7.46130510188998
-168.2,-21.8066366256646,-7.41753086419753
-168.1,-21.6251212088993,-7.37254194365306
-168,-21.4409771321312,-7.32755302310859
-167.9,-21.270541914212,-7.28256410256412
-167.8,-21.1124971004677,-7.23757518201964
-167.7,-20.9582143675118,-7.19258626147515
-167.6,-20.8022774153911,-7.14629146268986
-167.5,-20.6479551296038,-7.09681834769068
-167.4,-20.4890062511391,-7.05395465080193
-167.3,-20.3077439113516,-7.02524471032351
-167.2,-20.1033435367853,-7.00361769939431
-167.1,-19.9413258412607,-6.98317094169912
-167,-19.8569975856664,-6.96074707185819
-166.9,-19.7992887395821,-6.93825261158595
-166.8,-19.7324995830533,-6.91575815131371
-166.7,-19.630165632588,-6.89488810228045
-166.6,-19.5085985974064,-6.87393980638747
-166.5,-19.397433771945,-6.84731562888221
-166.4,-19.3068495312793,-6.80323630770278
-166.3,-19.2210391788946,-6.75199615410199
-166.2,-19.1249943025458,-6.71487209451988
-166.1,-19.0069033522747,-6.69091671703819
-166,-18.8886534612347,-6.67061729197416
-165.9,-18.798570035363,-6.64891210298619
-165.8,-18.7347346587075,-6.62641764271395
-165.7,-18.6721739555447,-6.60392318244171
-165.6,-18.5857466885867,-6.58142872216947
-165.5,-18.4691730657019,-6.55893426189723
-165.4,-18.3496897251776,-6.53643980162499
-165.3,-18.248867168521,-6.51135037831722
-165.2,-18.1561308011307,-6.48237345279572
-165.1,-18.0718429786427,-6.46492524086399
-165,-17.9981201871802,-6.46426717315606
-164.9,-17.9322129327143,-6.46426717315606
-164.8,-17.8671311810818,-6.46426717315606
-164.7,-17.7996644507756,-6.46426717315606
-164.6,-17.7321810699589,-6.46426717315606
-164.5,-17.6646976891422,-6.46426717315606
-164.4,-17.5972143083254,-6.46426717315606
-164.3,-17.5297309275087,-6.46426717315606
-164.2,-17.462247546692,-6.46426717315606
-164.1,-17.3947641658753,-6.46426717315606
-164,-17.3272807850586,-6.46426717315606
-163.9,-17.2597974042419,-6.46426717315606
-163.8,-17.1923140234252,-6.46426717315606
-163.7,-17.1248306426084,-6.46426717315606
-163.6,-17.0573472617917,-6.46426717315606
-163.5,-16.989863880975,-6.46426717315606
-163.4,-16.9223805001583,-6.46426717315606
-163.3,-16.8534967566493,-6.46426717315606
-163.2,-16.7820539812585,-6.46426717315606
-163.1,-16.7171409332798,-6.46426717315606
-163,-16.6656911957619,-6.46426717315606
-162.9,-16.6220088797124,-6.46426717315606
-162.8,-16.5793553668018,-6.46426717315606
-162.7,-16.5344032921811,-6.46426717315606
-162.6,-16.4894143716366,-6.46426717315606
-162.5,-16.4444254510921,-6.4642784342864
-162.4,-16.3994365305477,-6.47786541304974
-162.3,-16.3544476100032,-6.50597233919911
-162.2,-16.3094586894587,-6.53235412050227
-162.1,-16.2644697689142,-6.5548485807745
-162,-16.2194808483698,-6.57734304104674
-161.9,-16.1744919278253,-6.59983750131898
-161.8,-16.1295030072808,-6.62233196159121
-161.7,-16.0845140867363,-6.64482642186346
-161.6,-16.0386718529119,-6.6673208821357
-161.5,-15.9891429744187,-6.68981534240793
-161.4,-15.9449318448967,-6.71230980268017
-161.3,-15.9147564284063,-6.73480426295241
-161.2,-15.8926296566019,-6.75729872322465
-161.1,-15.8723289726011,-6.77979318349689
-161,-15.8500284900285,-6.80228764376912
-160.9,-15.8275340297563,-6.82478210404136
-160.8,-15.805039569484,-6.8472765643136
-160.7,-15.7825451092118,-6.86843963036722
-160.6,-15.7600506489395,-6.88909411263159
-160.5,-15.7375561886673,-6.9146678903753
-160.4,-15.7150617283951,-6.95646274589892
-160.3,-15.6925672681228,-7.0080001566907
-160.2,-15.6700728078506,-7.04745657408312
-160.1,-15.6475783475784,-7.070230101274
-160,-15.6250838873061,-7.08963849044409
-159.9,-15.6020989633444,-7.117101957341
-159.8,-15.5730964888117,-7.16375661884769
-159.7,-15.5491643821724,-7.21412766173764
-159.6,-15.5440899018677,-7.24821924517327
-159.5,-15.5440899018677,-7.27123812179866
-159.4,-15.5440899018677,-7.29146215876593
-159.3,-15.5381497677787,-7.31348528015194
-159.2,-15.508346594836,-7.33597974042418
-159.1,-15.4820105337934,-7.35847420069642
-159,-15.4796939959903,-7.38096866096866
-158.9,-15.4796939959903,-7.40346312124089
-158.8,-15.4796939959903,-7.42595758151313
-158.7,-15.4796939959903,-7.44845204178537
-158.6,-15.4796939959903,-7.47094650205761
-158.5,-15.4796939959903,-7.49344096232985
-158.4,-15.4796939959903,-7.51593542260208
-158.3,-15.4796939959903,-7.53842988287432
-158.2,-15.4796939959903,-7.56092434314656
-158.1,-15.4796939959903,-7.5834188034188
-158,-15.4796939959903,-7.60591326369104
-157.9,-15.4796939959903,-7.62840772396328
-157.8,-15.4796939959903,-7.65090218423551
-157.7,-15.4796939959903,-7.67339664450776
-157.6,-15.4796939959903,-7.69589110477999
-157.5,-15.4796939959903,-7.71838556505223
-157.4,-15.4796939959903,-7.74088002532447
-157.3,-15.4796939959903,-7.76498086296357
-157.2,-15.4796939959903,-7.79427193023997
-157.1,-15.4796939959903,-7.81461762220518
-157,-15.4925934845043,-7.8165811965812
-156.9,-15.5457073998569,-7.8165811965812
-156.8,-15.6003698074525,-7.8165811965812
-156.7,-15.6289373895696,-7.82468303019373
-156.6,-15.6502734379918,-7.8506527260163
-156.5,-15.6708597895596,-7.87887151240159
