Azimuth,Vertical_dB,Horizontal_dB
-180,-12.1767364752109,-19.2443922127256
-179.9,-12.1767364752109,-19.2443922127256
-179.8,-12.1767364752109,-19.2443922127256
-179.7,-12.1767364752109,-19.2443922127256
-179.6,-12.1767364752109,-19.2443922127256
-179.5,-12.1767364752109,-19.2443922127256
-179.4,-12.1767364752109,-19.2443922127256
-179.3,-12.1767364752109,-19.2443922127256
-179.2,-12.1767364752109,-19.2443922127256
-179.1,-12.1767364752109,-19.2443922127256
-179,-12.1632485451227,-19.2443922127256
-178.9,-12.1534514707591,-19.2443922127256
-178.8,-12.1505977630052,-19.2435077284225
-178.7,-12.1505977630052,-19.2178630031423
-178.6,-12.1505977630052,-19.1703867689871
-178.5,-12.1505977630052,-19.1172896304292
-178.4,-12.1505977630052,-19.0470245191253
-178.3,-12.1505977630052,-18.9638946761829
-178.2,-12.1546198070189,-18.8770813600695
-178.1,-12.178990515824,-18.7794718723422
-178,-12.2020749631956,-18.6825769743001
-177.9,-12.2047488656748,-18.5998768027195
-177.8,-12.2047488656748,-18.5272884093897
-177.7,-12.2047488656748,-18.4524387367002
-177.6,-12.2047488656748,-18.3618222262841
-177.5,-12.2047488656748,-18.2593259511148
-177.4,-12.2047488656748,-18.1694435072056
-177.3,-12.2047488656748,-18.1064379913329
-177.2,-12.2047488656748,-18.0544809103939
-177.1,-12.2047488656748,-17.9971685944234
-177,-12.2047488656748,-17.9232351966039
-176.9,-12.2047488656748,-17.8428990752039
-176.8,-12.2052621869481,-17.7718188566291
-176.7,-12.2243286786695,-17.7129309471025
-176.6,-12.2507983195307,-17.6584612435159
-176.5,-12.2588999683444,-17.6024366726032
-176.4,-12.2588999683444,-17.5423494807874
-176.3,-12.2588999683444,-17.4851463729414
-176.2,-12.262323723172,-17.4391509857611
-176.1,-12.2861804878662,-17.4048228576721
-176,-12.3098371674485,-17.3686259981571
-175.9,-12.313051071014,-17.3138009726976
-175.8,-12.313051071014,-17.2336862513087
-175.7,-12.313051071014,-17.1523483338616
-175.6,-12.313051071014,-17.0887726629764
-175.5,-12.313051071014,-17.0330452014776
-175.4,-12.313051071014,-16.9784774169539
-175.3,-12.3245465893901,-16.9197748767532
-175.2,-12.3516753341493,-16.8602424307181
-175.1,-12.367199142419,-16.8081560092041
-175,-12.3672021736837,-16.767023457238
-174.9,-12.3672021736837,-16.7309925237928
-174.8,-12.3674037402494,-16.6945663184552
-174.7,-12.3806385139748,-16.6567347261792
-174.6,-12.4047255230545,-16.6189031339031
-174.5,-12.4263115964968,-16.5810715416271
-174.4,-12.4452273926348,-16.5432399493511
-174.3,-12.4641431887728,-16.505408357075
-174.2,-12.4839658909279,-16.467576764799
-174.1,-12.5085890757977,-16.429745172523
-174,-12.5270477336488,-16.3919135802469
-173.9,-12.5296554816925,-16.3540819879709
-173.8,-12.5296554816925,-16.3162503956949
-173.7,-12.5296554816925,-16.2784188034188
-173.6,-12.5349504942328,-16.2405872111428
-173.5,-12.5558578127389,-16.2027556188667
-173.4,-12.5800141323476,-16.1649240265907
-173.3,-12.5991500474834,-16.1270924343147
-173.2,-12.6180658436214,-16.0892608420386
-173.1,-12.6369816397594,-16.0514292497626
-173,-12.6558974358974,-16.0109481105832
-172.9,-12.6748132320355,-15.9704249201021
-172.8,-12.6937290281735,-15.9390464675152
-172.7,-12.7126448243115,-15.9180010736647
