Azimuth,Vertical_dB,Horizontal_dB
-180,-13.5632165827232,-12.7620438957476
-179.9,-13.5632165827232,-12.7620438957476
-179.8,-13.5632165827232,-12.7620438957476
-179.7,-13.5632165827232,-12.7620438957476
-179.6,-13.5632165827232,-12.7620438957476
-179.5,-13.5632165827232,-12.7620438957476
-179.4,-13.5632165827232,-12.7620438957476
-179.3,-13.5632165827232,-12.7620438957476
-179.2,-13.5632165827232,-12.7620438957476
-179.1,-13.5632165827232,-12.7620438957476
-179,-13.5632165827232,-12.7620438957476
-178.9,-13.5632165827232,-12.7620438957476
-178.8,-13.5632165827232,-12.7620438957476
-178.7,-13.5632165827232,-12.7620438957476
-178.6,-13.5632165827232,-12.7620438957476
-178.5,-13.5632165827232,-12.7635313019413
-178.4,-13.5632165827232,-12.7792616888749
-178.3,-13.5632165827232,-12.7967596230517
-178.2,-13.5632165827232,-12.8000960219479
-178.1,-13.5673179411642,-12.8000960219479
-178,-13.5710950894729,-12.8000960219479
-177.9,-13.5745613768298,-12.8046108540829
-177.8,-13.5777301524158,-12.8227645293826
-177.7,-13.5806147654114,-12.8373429386677
-177.6,-13.5832285649974,-12.8381481481482
-177.5,-13.5855849003545,-12.8381481481482
-177.4,-13.5876971206634,-12.8381481481482
-177.3,-13.5895785751047,-12.8381481481482
-177.2,-13.5912426128591,-12.8381481481482
-177.1,-13.5927025831073,-12.8381481481482
-177,-13.59397183503,-12.8381481481482
-176.9,-13.5950637178079,-12.8381481481482
-176.8,-13.5959915806217,-12.837787435902
-176.7,-13.596768772652,-12.8243893606384
-176.6,-13.5974086430796,-12.8057890724656
-176.5,-13.5979245410851,-12.8000960219479
-176.4,-13.5983298158491,-12.8000960219479
-176.3,-13.5986378165525,-12.8000960219479
-176.2,-13.5988618923759,-12.8000960219479
-176.1,-13.5990153925,-12.8000960219479
-176,-13.5991116661053,-12.8000960219479
-175.9,-13.5991640623728,-12.796096369876
-175.8,-13.5991859304829,-12.7781990834477
-175.7,-13.5991906196165,-12.7631138039974
-175.6,-13.5981718491512,-12.7620438957476
-175.5,-13.5938043288451,-12.7620438957476
-175.4,-13.5869181272018,-12.7620438957476
-175.3,-13.5785220027351,-12.7539659639157
-175.2,-13.5696247139585,-12.7349025216525
-175.1,-13.5612350193858,-12.7239938996252
-175,-13.5533140709841,-12.7239917695473
-174.9,-13.5451123856309,-12.7239917695473
-174.8,-13.536639357907,-12.7239917695473
-174.7,-13.5279045215693,-12.7239917695473
-174.6,-13.5189174103748,-12.7239917695473
-174.5,-13.5096875580804,-12.7227740678144
-174.4,-13.500224498443,-12.700928090822
-174.3,-13.4905377652196,-12.6665017302309
-174.2,-13.4806368921671,-12.6359956625775
-174.1,-13.4705314130425,-12.6013901054633
-174,-13.4602308616026,-12.5754482079428
-173.9,-13.4497447716044,-12.5717832647462
-173.8,-13.4390826768048,-12.5717832647462
-173.7,-13.4282541109609,-12.5717832647462
