Azimuth,Vertical_dB,Horizontal_dB
-180,-11.6410090802894,-20.8832865395877
-179.9,-11.6410090802894,-20.8832865395877
-179.8,-11.6410090802894,-20.8832865395877
-179.7,-11.6410090802894,-20.8832865395877
-179.6,-11.6410090802894,-20.8832865395877
-179.5,-11.6410090802894,-20.8832865395877
-179.4,-11.6410090802894,-20.8832865395877
-179.3,-11.6410090802894,-20.8832865395877
-179.2,-11.6410090802894,-20.8727778880248
-179.1,-11.6410090802894,-20.8689252928142
-179,-11.6410090802894,-20.8689252928142
-178.9,-11.6410090802894,-20.8689252928142
-178.8,-11.6410090802894,-20.8729089671904
-178.7,-11.6647356129545,-20.9811881336795
-178.6,-11.6882758809773,-21.1538057794802
-178.5,-11.7116337680194,-21.2829694986901
-178.4,-11.7348131577426,-21.3677468064213
-178.3,-11.7578179338087,-21.4569842280086
-178.2,-11.7806519798794,-21.6012283708124
-178.1,-11.8033191796164,-21.8497839499507
-178,-11.8258234166816,-22.0988080757376
-177.9,-11.8481685747367,-22.24877771793
-177.8,-11.8703585374433,-22.3484359342579
-177.7,-11.8923971884635,-22.4582699077046
-177.6,-11.9142884114587,-22.6419980583776
-177.5,-11.9360360900909,-22.896121341442
-177.4,-11.9576441080217,-23.1239938589997
-177.3,-11.979116348913,-23.265275209376
-177.2,-12.0004566964264,-23.3776885550648
-177.1,-12.0216690342238,-23.5274678649739
-177,-12.0427572459669,-23.8322677324747
-176.9,-12.0637252153175,-24.2153821589856
-176.8,-12.0845768259373,-24.4690046855502
-176.7,-12.105315961488,-24.583601017615
-176.6,-12.1259465056315,-24.6760871458961
-176.5,-12.1464723420295,-24.8320240378273
-176.4,-12.1668973543437,-25.1815157043977
-176.3,-12.1872254262359,-25.5129588772019
-176.2,-12.2074604413679,-25.5800712250712
-176.1,-12.2276062834014,-25.5800712250712
-176,-12.2476668359981,-25.5800712250712
-175.9,-12.2676459828199,-25.7414449149397
-175.8,-12.2875476075285,-26.482545843576
-175.7,-12.3073755937857,-27.1737220961795
-175.6,-12.3268845576056,-27.3494604838429
-175.5,-12.3456925565899,-27.4266718863676
-175.4,-12.3643779880891,-27.5116273237783
-175.3,-12.3826156838307,-27.6974560061264
-175.2,-12.4006031274284,-27.9449355475883
-175.1,-12.4210725791997,-28.0709983616295
-175,-12.4465481864548,-28.0710219478738
-174.9,-12.4767724114779,-28.0710219478738
-174.8,-12.5103091566866,-28.0710219478738
-174.7,-12.5457222556113,-28.0710219478738
-174.6,-12.5815755417822,-28.0710219478738
-174.5,-12.6164328487294,-28.070430463173
-174.4,-12.6488580099832,-28.0585346425499
-174.3,-12.6774148590738,-28.0348449161649
-174.2,-12.7005554208488,-27.9958003084568
-174.1,-12.7183089616911,-27.8934010738438
-174,-12.7361935106425,-27.7807094792234
-173.9,-12.7596453498353,-27.7216151865541
-173.8,-12.7880514828451,-27.6898631673324
-173.7,-12.8204157727837,-27.6544599350995
-173.6,-12.8560890595839,-27.5768035813225
-173.5,-12.8944221831784,-27.4411516865733
-173.4,-12.9347659834999,-27.32565122095
-173.3,-12.9764713004813,-27.2794376204496
-173.2,-13.0188889740552,-27.2527936563095
-173.1,-13.0613698441544,-27.2080792348242
-173,-13.1032647507116,-26.9430154199794
-172.9,-13.1439245336596,-26.4603444945699
-172.8,-13.182698253895,-26.103574736956
-172.7,-13.2194164780429,-25.9488761263066
