Azimuth,Vertical_dB,Horizontal_dB
-180,-27.8077716039261,-16.7433841395386
-179.9,-27.8077716039261,-16.7433841395386
-179.8,-27.8077716039261,-16.7433841395386
-179.7,-27.8077716039261,-16.7433841395386
-179.6,-27.8077716039261,-16.7433841395386
-179.5,-27.8077716039261,-16.7433841395386
-179.4,-27.8077716039261,-16.7433841395386
-179.3,-27.8077716039261,-16.7433841395386
-179.2,-27.8077716039261,-16.7433841395386
-179.1,-27.8077716039261,-16.7433841395386
-179,-27.7950127511399,-16.7306252867525
-178.9,-27.7857452483635,-16.7213577839761
-178.8,-27.7830457950828,-16.7186583306954
-178.7,-27.7830457950828,-16.7186583306954
-178.6,-27.7830457950828,-16.7186583306954
-178.5,-27.76777750465,-16.7186583306954
-178.4,-27.5868223730051,-16.7186583306954
-178.3,-27.3079105147676,-16.7186583306954
-178.2,-27.0407368095268,-16.6764708422203
-178.1,-26.7350326218092,-16.409903822997
-178,-26.4417570453779,-16.1171947879229
-177.9,-26.2044955252009,-15.9978221721312
-177.8,-25.9760590875936,-15.9387900020486
-177.7,-25.8430617231068,-15.8717385931625
-177.6,-25.8365331856073,-15.7288905936183
-177.5,-25.8365331856073,-15.5030778626762
-177.4,-25.8365331856073,-15.30058743551
-177.3,-25.6839482756709,-15.1687177841062
-177.2,-25.2820927365331,-15.0594529457025
-177.1,-24.8531942543138,-14.9751347619052
-177,-24.3888346654924,-14.9185913015846
-176.9,-23.9145649313698,-14.8726469444884
-176.8,-23.6660360874602,-14.811209615631
-176.7,-23.5811640049374,-14.7205995241124
-176.6,-23.5237417037305,-14.6063622649896
-176.5,-23.4586604410679,-14.470162605144
-176.4,-23.3870871583835,-14.2694030526607
-176.3,-23.3155138756991,-14.0732426499036
-176.2,-23.2439405930147,-13.9727959088846
-176.1,-23.1723673103303,-13.9266660755382
-176,-23.1007940276459,-13.8802304988296
-175.9,-23.0252469665116,-13.7753849351003
-175.8,-22.9409015032647,-13.5689195948508
-175.7,-22.8760994885142,-13.3738886799885
-175.6,-22.8502536464728,-13.2771038781712
-175.5,-22.837445811583,-13.2148221736943
-175.4,-22.8187178908487,-13.1460835281197
-175.3,-22.741214090224,-13.0347553068938
-175.2,-22.5898430196651,-12.8946703245141
-175.1,-22.4568848798496,-12.7755426598736
-175,-22.3821144890753,-12.699807382514
-174.9,-22.319926940317,-12.6367579611019
-174.8,-22.2384270367459,-12.5572847632577
-174.7,-22.1096109783639,-12.4175739376794
-174.6,-21.9534199118809,-12.2699998163649
-174.5,-21.8037211079044,-12.2036116888935
-174.4,-21.6630106976063,-12.1867776146343
